DateTime,Event
2019-03-14 16:02:45,Accident on TPE (towards SLE) after Punggol Rd Exit with congestion till Punggol Rd Exit. Avoid lanes 2 and 3
2019-03-14 15:54:17,Obstacle on Alexandra Road (towards Depot Road) after Bury Road. Avoid left lane
2019-03-14 15:52:13,Accident on TPE (towards SLE) after Punggol Rd Exit. Avoid lanes 2 and 3
2019-03-14 15:10:56,Obstacle on Alexandra Road (towards Depot Road) after Bury Road
2019-03-14 13:10:17,Obstacle on TPE (towards SLE) at Tampines Ave 7 Exit
2019-03-14 13:04:29,Obstacle on PIE (towards Tuas) before Pioneer Rd North. Avoid lane 4
2019-03-14 12:31:56,Accident on PIE (towards Changi Airport) at Toa Payoh Entrance
2019-03-14 10:29:18,Temporary Road Closure at Woodsville Tunnel on 19 - 21 Mar 2019 from midnight to 5 a.m. #sgtraffic http://bit.ly/2HiwpQw 
2019-03-14 10:28:32,"Temporary Road Diversion at Kim Chuan Road on Friday, 15 March 2019 at 10 pm. #sgtraffic http://bit.ly/2HumB5b "
2019-03-14 10:27:44,"Relocation of PIE (Changi) Exit 1 to Airport Boulevard on Sunday, 24 March 2019 at 1 a.m. #sgtraffic http://bit.ly/2O4SVgf "
2019-03-14 10:27:01,"Temporary Road Closure along Tanjong Katong Road on Wednesday, 20 March 2019 and Thursday, 21 March 2019 from 1.30 a.m to 5 a.m daily. #sgtraffic http://bit.ly/2O4S92P "
2019-03-14 10:26:17,"Modification of Junction at Yuan Ching Road / Tao Ching Road / Chinese Garden Road on Tuesday, 19 March 2019 at 4 p.m. #sgtraffic http://bit.ly/2XTPa1G "
2019-03-14 10:05:48,"Accident on TPE (towards SLE) before CTE Exit. Avoid lanes 1, 2 and 3"
2019-03-14 10:05:11,Accident on TPE (towards SLE) before CTE Exit. Avoid lanes 1 and 2
2019-03-14 08:57:18,Heavy Traffic on TPE (towards PIE) before Elias Rd Exit
2019-03-14 08:56:16,Accident on TPE (towards PIE) before Elias Rd Exit with congestion till KPE Exit
2019-03-14 08:46:47,Accident on TPE (towards PIE) before Elias Rd Exit with congestion till KPE Exit. Avoid lane 3
2019-03-14 08:43:01,Accident on PIE (towards Tuas) before Toh Guan Rd Exit with congestion till Clementi Ave 6 Exit. Avoid lane 1
2019-03-14 08:42:30,Accident on TPE (towards PIE) before Elias Rd Exit. Avoid lane 3
2019-03-14 08:41:59,Accident on PIE (towards Tuas) before Toh Guan Rd Exit. Avoid lane 1
2019-03-14 08:02:53,Accident on PIE (towards Changi Airport) after Kim Keat Link
2019-03-14 07:57:05,Accident on PIE (towards Changi Airport) after Kim Keat Link. Avoid lane 1
2019-03-14 07:50:10,Accident on AYE (towards Tuas) after Penjuru Rd Exit
2019-03-14 07:49:07,Accident on AYE (towards Tuas) after Penjuru Rd Exit. Avoid lane 2
2019-03-14 07:47:35,Heavy Traffic on BKE (towards PIE) before Mandai Rd Exit
2019-03-14 07:14:52,Accident on BKE (towards PIE) before Mandai Rd Exit with congestion till SLE Exit. Avoid lane 1
2019-03-14 07:09:37,Accident on BKE (towards PIE) before Mandai Rd Exit with congestion till SLE Exit
2019-03-14 07:05:21,Accident on BKE (towards PIE) before Mandai Rd Exit
2019-03-13 22:14:43,Accident on KJE (towards PIE) after Woodlands Rd Exit with congestion till Woodlands Rd Exit. Avoid lanes 2 and 3
2019-03-13 22:14:02,Accident on KJE (towards PIE) after Woodlands Rd Exit. Avoid lanes 2 and 3
2019-03-13 22:13:21,Accident on KJE (towards PIE) after Woodlands Rd Exit. Avoid lanes 1 and 2
2019-03-13 20:48:43,Accident on PIE (towards Tuas) after Eng Neo Ave
2019-03-13 20:41:32,Accident on PIE (towards Tuas) after Eng Neo Ave. Avoid lane 4
2019-03-13 20:35:34,Obstacle on BKE (towards Woodlands) after PIE Entrance. Avoid lanes 1 and 2
2019-03-13 18:14:46,Obstacle in CTE Tunnel (towards AYE) before Havelock Exit. Avoid lane 3
2019-03-13 18:14:05,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Punggol Rd Exit
2019-03-13 18:12:04,Obstacle in CTE Tunnel (towards AYE) before Havelock Exit. Avoid lane 2
2019-03-13 17:42:01,Heavy Traffic on PIE (towards Changi Airport) before KJE
2019-03-13 17:39:14,Accident on TPE (towards PIE) after Punggol Rd Exit with congestion till Punggol Rd Exit. Avoid lane 1
2019-03-13 17:37:13,Accident on Balestier Road near Balestier Road/Thomson Road Junction
2019-03-13 17:35:52,Accident on PIE (towards Changi Airport) before KJE with congestion till Pioneer Rd Nth. Avoid lane 3
2019-03-13 17:33:05,Accident on TPE (towards PIE) after Punggol Rd Exit. Avoid lane 1
2019-03-13 17:32:33,Accident on TPE (towards PIE) after Punggol Rd Exit
2019-03-13 17:27:42,Accident on PIE (towards Changi Airport) before KJE with congestion till Jalan Bahar. Avoid lane 3
2019-03-13 17:20:00,Accident on PIE (towards Changi Airport) before KJE. Avoid lane 3
